Dataset x,Dataset y
6.901311230969E-3,-5.134645162708E-5
6.748005111107E-2,2.068848760903E-2
2.240315363663E-1,3.306454386000E-2
3.910197873052E-1,4.448576108189E-2
5.371345068768E-1,5.686313344455E-2
5.736631867697E-1,6.925432497989E-2
5.997551009789E-1,8.164683262691E-2
7.876168832852E-1,9.401894054283E-2
8.450190945455E-1,1.073610227722E-1
9.493867513823E-1,1.206971824990E-1
1.105938236638E0,1.330732387500E-1
1.424259589990E0,1.473359411047E-1
1.466006652725E0,1.606799975016E-1
1.471225035566E0,1.749821832068E-1
1.523408863985E0,1.873714005746E-1
1.779109623235E0,2.016419995993E-1
1.815638303128E0,2.159402369695E-1
1.852166983021E0,2.302384743396E-1
1.899132428597E0,2.445353955981E-1
2.019155233960E0,2.597766269922E-1
2.227890507820E0,2.759601943594E-1
2.394878758759E0,2.911955032509E-1
2.499246415596E0,3.064387088125E-1
2.587958923907E0,3.235909343764E-1
2.864533214525E0,3.426265157648E-1
2.880188363051E0,3.626485228627E-1
3.161981036510E0,3.845440149475E-1
3.339406053133E0,4.074061910666E-1
4.127382021503E0,4.311448975494E-1
4.409174694963E0,4.568544813038E-1
4.711840899789E0,4.844684786697E-1
5.353701989336E0,5.120397024058E-1
